,name,company,year,mileage,kms_driven,fuel_type,Price
1,Hyundai Creta 1.6 CRDi,Hyundai,2015,19.67,41000,Diesel,1250000.0
2,Honda Jazz V,Honda,2011,18.2,46000,Petrol,450000.0
4,Audi A4 New 2.0,Audi,2013,15.2,40670,Diesel,1773999.9999999998
7,Toyota Innova Crysta 2.8,Toyota,2016,11.36,36000,Diesel,1750000.0
10,Maruti Ciaz Zeta,Maruti,2018,21.56,25692,Petrol,994999.9999999999
17,Maruti Swift DDiS VDI,Maruti,2017,28.4,25000,Diesel,599000.0
20,BMW 3 Series 320d,BMW,2014,22.69,32982,Diesel,1855000.0
23,Hyundai i20 1.2 Magna,Hyundai,2010,18.5,45807,Petrol,187000.0
24,Volkswagen Vento Petrol Highline,Volkswagen,2010,14.4,33000,Petrol,285000.0
28,Honda WRV i-VTEC VX,Honda,2018,17.5,37430,Petrol,990000.0
33,Audi A6 2.7 TDI,Audi,2010,12.4,35000,Diesel,1150000.0
41,Tata Nano LX SE,Tata,2014,25.4,19698,Petrol,153000.0
42,Mahindra KUV 100 mFALCON,Mahindra,2017,25.32,22033,Diesel,558000.0
43,Hyundai i20 Magna Optional,Hyundai,2014,18.5,35487,Petrol,474000.0
44,Hyundai Elantra 2.0 SX,Hyundai,2014,14.62,46374,Petrol,885000.0
50,Audi A4 2.0 TDI,Audi,2015,17.11,13648,Diesel,2143000.0
55,Volkswagen Vento 2013-2015 1.6,Volkswagen,2015,15.04,39000,Petrol,399000.0
56,Renault KWID RXT,Renault,2017,25.17,16542,Petrol,330000.0
57,Hyundai i10 Asta,Hyundai,2010,20.36,32000,Petrol,206999.99999999997
59,Maruti Zen Estilo VXI,Maruti,2010,18.2,39300,Petrol,225000.0
60,Toyota Innova Crysta 2.4,Toyota,2017,13.68,22000,Diesel,1650000.0
69,Hyundai Creta 1.4 E,Hyundai,2018,22.1,13000,Diesel,1050000.0
72,Hyundai i10 Sportz 1.2,Hyundai,2012,16.95,45178,Petrol,348000.0
74,Honda Brio VX AT,Honda,2016,16.5,37300,Petrol,646000.0
88,Hyundai Grand i10 Sportz,Hyundai,2016,18.9,16000,Petrol,575000.0
90,Honda Amaze SX i-VTEC,Honda,2016,17.8,18949,Petrol,500000.0
92,Audi A6 2011-2015 35,Audi,2018,17.68,48367,Diesel,3958000.0
95,Honda Amaze SX i-DTEC,Honda,2015,25.8,30000,Diesel,350000.0
96,Volkswagen Polo Diesel Highline,Volkswagen,2013,22.07,34212,Diesel,279000.0
101,Hyundai i20 Asta 1.2,Hyundai,2014,18.5,30180,Petrol,465000.00000000006
102,Datsun GO Plus T,Datsun,2017,19.83,32851,Petrol,395000.0
103,Audi A4 3.0 TDI,Audi,2010,14.94,30000,Diesel,980000.0000000001
109,Hyundai Verna 1.6 SX,Hyundai,2014,22.32,40000,Diesel,525000.0
110,Toyota Innova Crysta 2.8,Toyota,2017,11.36,30000,Diesel,1925000.0
111,Maruti Eeco 5 Seater,Maruti,2017,15.1,38053,Petrol,391000.0
112,Tata Nano Twist XT,Tata,2014,25.4,25500,Petrol,215000.0
116,Volvo V40 Cross Country,Volvo,2014,23.3,32700,Diesel,2000000.0
117,Nissan Micra XV CVT,Nissan,2016,19.15,39882,Petrol,655000.0
122,Hyundai Verna CRDi 1.6,Hyundai,2018,22.0,10250,Diesel,1095000.0
123,Maruti Wagon R LXI,Maruti,2011,18.9,43874,Petrol,245000.00000000003
124,Tata Nano XTA,Tata,2017,21.9,32684,Petrol,323000.0
125,Mahindra Scorpio VLX,Mahindra,2014,12.05,42000,Diesel,775000.0
126,Mercedes-Benz New C-Class 200,Mercedes-Benz,2009,11.7,28352,Petrol,935000.0
128,Honda CR-V 2.4 MT,Honda,2007,10.8,47700,Petrol,525000.0
130,Maruti Ciaz VXi Plus,Maruti,2017,20.73,44285,Petrol,747000.0
132,Maruti Ritz VXI ABS,Maruti,2016,21.1,30232,Petrol,581000.0
135,Hyundai Verna VTVT 1.6,Hyundai,2019,17.0,12645,Petrol,1150000.0
137,BMW 1 Series 118d,BMW,2015,20.58,31821,Diesel,1722000.0
138,Honda Jazz 1.2 V,Honda,2015,19.0,12000,Petrol,600000.0
140,Mercedes-Benz New C-Class C,Mercedes-Benz,2014,19.27,44965,Diesel,1795000.0
141,Honda Amaze SX i-DTEC,Honda,2014,25.8,45044,Diesel,370000.0
142,Maruti Swift VVT VXI,Maruti,2016,22.0,34204,Petrol,543000.0
145,Chevrolet Beat LT Option,Chevrolet,2014,18.6,38800,Petrol,285000.0
147,Maruti Ciaz 1.4 Alpha,Maruti,2018,20.73,41283,Petrol,990000.0
148,Audi RS5 Coupe,Audi,2013,11.05,23000,Petrol,3700000.0
149,BMW 3 Series Luxury,BMW,2014,21.76,48000,Diesel,2650000.0
